Artist,Year,Month,Where
San Fermin,2014,August,"Brooklyn, NY"
Modest Mouse,2014,August,"Sayreville, NJ"
Mimicking Birds,2014,August,"Sayreville, NJ"
Part Time,2014,September,"Ithaca, NY"
Downies,2014,September,"Ithaca, NY"
Underground River,2014,September,"Ithaca, NY"
Ava Luna,2014,September,"Ithaca, NY"
Celestial Shore,2014,September,"Ithaca, NY"
Junior Bob,2014,September,"Ithaca, NY"
Red Sled Choir,2014,September,"Ithaca, NY"
Real Estate,2014,September,"Ithaca, NY"
Regal Degal,2014,September,"Ithaca, NY"
Porches,2014,October,"Brooklyn, NY"
Frankie Cosmos,2014,October,"Brooklyn, NY"
Regal Degal,2014,October,"Brooklyn, NY"
Rivergazer,2014,October,"Brooklyn, NY"
The RealBads,2014,October,"Ithaca, NY"
Lust,2014,October,"Ithaca, NY"
Krill,2014,October,"Ithaca, NY"
Dope Body,2014,October,"Ithaca, NY"
Diarrhea Planet,2014,October,"Ithaca, NY"
Lust,2014,October,"Ithaca, NY"
Rubbed Ugly,2014,October,"Ithaca, NY"
The Sweet Freaks,2014,October,"Ithaca, NY"
Misses Bitches,2014,November,"Ithaca, NY"
Imperials,2014,November,"Ithaca, NY"
PUPPPY,2014,November,"Ithaca, NY"
Red Sled Choir,2014,November,"Ithaca, NY"
Perfect Pussy,2014,December,"Ithaca, NY"
Math The Band,2014,December,"Ithaca, NY"
Jeff Rosenstock,2014,December,"Ithaca, NY"
Zula,2014,December,"Ithaca, NY"
The RealBads,2014,December,"Ithaca, NY"
"Be Still, Cody",2014,December,"Ithaca, NY"
Heavy Sigh,2014,December,"Ithaca, NY"
ROMP,2014,December,"Ithaca, NY"
California X,2015,January,"Brooklyn, NY"
Big Ups,2015,January,"Brooklyn, NY"
Ovlov,2015,January,"Brooklyn, NY"
LVL UP,2015,January,"Brooklyn, NY"
Priests,2015,February,"Ithaca, NY"
Tenement,2015,February,"Ithaca, NY"
Vacation,2015,February,"Ithaca, NY"
Green Dreams,2015,February,"Ithaca, NY"
Jeff Rosenstock,2015,February,"Brooklyn, NY"
Diet Cig,2015,March,"Ithaca, NY"
Earl Boykins,2015,March,"Ithaca, NY"
Alex G,2015,March,"Ithaca, NY"
Lust,2015,March,"Ithaca, NY"
Lucia Roberts,2015,March,"Ithaca, NY"
Krill,2015,March,"Brooklyn, NY"
Frankie Cosmos,2015,March,"Brooklyn, NY"
LVL UP,2015,March,"Brooklyn, NY"
Cloud Becomes Your Hand,2015,March,"Brooklyn, NY"
Crying,2015,March,"Brooklyn, NY"
Eskimeaux,2015,March,"Brooklyn, NY"
Modest Mouse,2015,April,"Ithaca, NY"
Turn To Crime,2015,April,"Ithaca, NY"
Mystic Braves,2015,May,"San Diego, CA"
